B3I023180,数字信号处理(全汉语),,,,,学院路校区,"万国龙◇[1-17周]星期三第3,4节,[1-17周]星期五第1,2节◇(一)201◇",核心专业类,必修,电子信息工程学院,3.5,42/120 对外:10/10
B3I023180,数字信号处理(全汉语),,,,,学院路校区,"孙国良◇[1-17周]星期三第3,4节,[1-17周]星期五第1,2节◇(一)204◇",核心专业类,必修,电子信息工程学院,3.5,8/120 对外:10/10
B3I023180,数字信号处理(全汉语),,,,,学院路校区,"高  飞◇[1-17周]星期三第3,4节,[1-17周]星期五第1,2节◇(一)212◇",核心专业类,必修,电子信息工程学院,3.5,0/127 对外:10/10
B3I023181,数字信号处理（全英文）(全英语),,,,,学院路校区,"王祖林,田亚飞◇[1-7周]星期四第5,6节,星期二第5,6节,星期三第5,6节,[1-7周]星期四第7,8节,星期二第7,8节◇(一)302◇",核心专业类,必修,电子信息工程学院,3.5,20/40 对外:0/0
B3I023190,随机过程理论(全汉语),,,,,学院路校区,"张有光◇[1-17周]星期四第1,2节◇(一)202◇",核心专业类,必修,电子信息工程学院,2.0,26/70 对外:0/20
B3I023190,随机过程理论(全汉语),,,,,学院路校区,"李春升◇[1-17周]星期四第1,2节◇(一)212◇",核心专业类,必修,电子信息工程学院,2.0,0/121 对外:1/10
B3I023190,随机过程理论(全汉语),,,,,学院路校区,"徐华平◇[1周]星期四第1,2节,[2-17周]星期四第1,2节◇(一)201,(一)317◇",核心专业类,必修,电子信息工程学院,2.0,43/120 对外:8/10
B3I023190,随机过程理论(全汉语),,,,,学院路校区,"杨  威◇[1-17周]星期四第1,2节◇(一)204◇",核心专业类,必修,电子信息工程学院,2.0,9/120 对外:5/10
B3I023221,自动控制原理（全英文）(全英语),,,,,学院路校区,"韩圣千◇[8-13周]星期三第7,8节,[8-13周]星期四第5,6节,星期二第5,6节,星期三第5,6节◇(一)202◇",核心专业类,必修,电子信息工程学院,2.0,20/40 对外:0/0
B3I023920,综合创新-数字通信(全汉语),,,,,学院路校区,王  俊◇[1-17周]◇,核心专业类,必修,电子信息工程学院,2.0,3/80 对外:5/5
B3I023920,综合创新-数字通信(全汉语),,,,,学院路校区,张玉玺◇[1-17周]◇,核心专业类,必修,电子信息工程学院,2.0,6/80 对外:5/5
B3I023920,综合创新-数字通信(全汉语),,,,,学院路校区,刁为民◇[1-17周]◇,核心专业类,必修,电子信息工程学院,2.0,4/80 对外:4/5
B3I023920,综合创新-数字通信(全汉语),,,,,学院路校区,张杰斌◇[1-17周]◇,核心专业类,必修,电子信息工程学院,2.0,21/80 对外:5/5
B3I023920,综合创新-数字通信(全汉语),,,,,学院路校区,哈聪颖◇[1-17周]◇,核心专业类,必修,电子信息工程学院,2.0,50/80 对外:5/5
B3I03301A,电气工程及其自动化专业导论(全汉语),,,,,学院路校区,"马齐爽,郭  宏,雷银照,武建文,肖春燕,赵向阳,王  永◇[1周]星期二第7,8节,[2周]星期二第7,8节,[4周]星期二第7,8节,[5周]星期二第7,8节,[6周]星期二第7,8节,[7,8周]星期二第7,8节,[9周]星期二第7,8节◇F101◇",核心专业类,必修,自动化科学与电气工程学院,1.0,49/100 对外:0/0
B3I033111,自动控制原理A（1）（全英文）(全英语),,,,,学院路校区,"王  薇◇[1-17双周]星期四第5,6节,[1-17周]星期二第1,2节◇(一)213◇",核心专业类,必修,自动化科学与电气工程学院,3.0,16/40 对外:0/0
B3I03311A,自动控制原理A（1）(全汉语),,,,,学院路校区,"林  岩◇[1-17双周]星期四第5,6节,[1-17周]星期二第1,2节◇(一)316◇",核心专业类,必修,自动化科学与电气工程学院,3.0,18/60 对外:0/2
B3I03311A,自动控制原理A（1）(全汉语),,,,,学院路校区,"王艳东◇[1-17双周]星期四第5,6节,[1-17周]星期二第1,2节◇主南303◇",核心专业类,必修,自动化科学与电气工程学院,3.0,5/60 对外:0/0
