B2G070120,先进制造技术概论(英语授课)(全英语),,,,,学院路校区,"乔立红◇[4-14周]星期二第5,6节,[4-14周]星期二第7节◇主M203(录播)◇选课要求:◇◇",一般通识类,选修,机械工程及自动化学院,2.0,24/50
B2G070220,产品创新设计方法导论(全汉语),,,,,学院路校区,"魏  巍◇[2-10周]星期四第9,10节◇F101◇选课要求:◇◇",一般通识类,选修,机械工程及自动化学院,1.0,94/100
B2G070290,创意创新创业(全汉语),,,,,学院路校区,"王田苗◇[2-10周]星期一第9,10节◇D221◇选课要求:◇◇",一般通识类,选修,机械工程及自动化学院,1.0,9/30
B2G070310,有趣的机构发明(全汉语),,,,,学院路校区,"于靖军◇[2-11周]星期四第9,10节◇B506◇选课要求:◇◇",一般通识类,选修,机械工程及自动化学院,1.0,26/50
B2G110210,舞蹈艺术（1）(全汉语),,,,,学院路校区,"刘峥洋◇[2-10周]星期二第7,8节◇(一)306◇选课要求:◇◇",一般通识类,选修,人文社会科学学院,1.0,53/60
B2G110250,歌剧欣赏(全汉语),,,,,学院路校区,"苏丹娜◇[2-10周]星期二第9,10节◇主127◇选课要求:
◇◇",一般通识类,选修,人文社会科学学院,1.0,22/100
B2G110280,音乐作品分析与欣赏(全汉语),,,,,学院路校区,"苏丹娜◇[2-10周]星期二第7,8节◇主127◇选课要求:◇◇",一般通识类,选修,人文社会科学学院,1.0,40/100
B2G130110,适航概论(全汉语),,,,,学院路校区,"张曙光,柯  鹏◇[2-10周]星期二第7,8节◇F121◇选课要求:◇◇",一般通识类,选修,交通科学与工程学院,1.0,58/80
B2G150110,导弹概论(全汉语),,,,,学院路校区,"周  韬◇[2-10周]星期一第7,8节◇F101◇选课要求:◇◇",一般通识类,选修,宇航学院,1.0,88/100
B2G150210,深空探测导论(全汉语),,,,,学院路校区,"徐世杰,王  悦◇[2-14周]星期一第9,10节◇F101◇选课要求:◇◇",一般通识类,选修,宇航学院,1.5,88/100
B2G190120,开放物理实验(全汉语),,上课时间地点另行通知,,,学院路校区,唐  芳◇[4-11周]◇,一般通识类,选修,物理科学与核能工程学院,2.0,187/200
B2G270140,围棋基础（1）(全汉语),,,,,学院路校区,"薛  峰◇[4-11周]星期二第9,10节◇F121◇选课要求:◇◇",一般通识类,选修,化学学院,1.0,2/100
B2G270150,印象北京(全汉语),,,,,学院路校区,"薛  峰◇[4-7周]星期二第7,8节,[8-11周]星期二第7,8节◇主南203◇选课要求:◇◇",一般通识类,选修,化学学院,1.0,8/200
B2G280200,沧桑正道：中国共产党与国家治理能力和治理体系现代化(全汉语),,18:00在“培训中心”集合，校外上课。大三、大四对马克思主义理论、党建相关理论感兴趣的同学,,,学院路校区,"马炳涛◇[5-14周]星期三第11节,[5-14周]星期三第9,10节◇◇选课要求:18:00在“培训中心”集合，校外上课。大三、大四对马克思主义理论、党建相关理论感兴趣的同学◇◇",一般通识类,选修,马克思主义学院,2.0,3/45
B2G510210,大学生团体心理辅导(全汉语),,上课时间另行通知，上课地点：心理咨询中心团体辅导室,,,学院路校区,"张  焰◇[2-10周]星期六第11,12节◇心理咨询中心团体辅导室◇选课要求:上课时间另行通知，上课地点：心理咨询中心团体辅导室◇◇",一般通识类,选修,学生处武装部,1.0,180/200
B2G520110,信息检索与网络应用(全汉语),,,,,学院路校区,"冯花朴◇[2-10周]星期二第7,8节◇图书馆五层教室◇选课要求:◇◇",一般通识类,选修,图书馆,1.0,33/48
B2G560130,音乐剧欣赏与表演实践（1）(全汉语),,,,,学院路校区,"张冉◇[2-10周]星期四第7,8节◇晨兴剧场◇选课要求:◇◇",一般通识类,选修,团委,1.0,29/35
B2G560250,戏剧鉴赏（1）(全汉语),,,,,学院路校区,"钱晓天◇[2-10周]星期四第7,8节◇主127◇选课要求:◇◇",一般通识类,选修,团委,1.0,29/50
B2G560280,职业发展与就业指导（2）(全汉语),,,,,学院路校区,"陈伟东◇[2-10周]星期三第7,8节◇D215◇选课要求:◇◇",一般通识类,选修,招生就业处,1.0,34/60
B2G560280,职业发展与就业指导（2）(全汉语),,,,,学院路校区,"刘  睿◇[2-10周]星期四第7,8节◇(一)209◇选课要求:◇◇",一般通识类,选修,招生就业处,1.0,41/60
B2G560330,健康常识教育(全汉语),,,,,学院路校区,"曹丽娟◇[2-10周]星期四第9,10节◇(一)204◇选课要求:◇◇",一般通识类,选修,校医院,1.0,132/200
B2G560370,创业实训（1）(全汉语),,,,,学院路校区,"董青春◇[2-10周]星期三第7,8节◇(一)407◇选课要求:◇◇",一般通识类,选修,校内其它单位,1.0,46/50
B2G560380,航模技术(初级)(全汉语),,,,,学院路校区,"孙景桥◇[2-6周]星期六第1,2节,[2-6周]星期六第3,4节,[2-6周]星期五第11,12节,[2-6周]星期五第9,10节◇(二)211◇选课要求:◇◇",一般通识类,选修,校内其它单位,2.0,20/50
